"COL0","COL1","COL2","COL3"
"3518001","001","Pickering",99186.00
"3518005","005","Ajax",126666.00
"3518009","009","Whitby",138501.00
"3518013","013","Oshawa",175383.00
"3518017","017","Clarington",101427.00
"3518020","020","Scugog",21581.00
"3518029","029","Uxbridge",21556.00
"3518039","039","Brock",12567.00
"3519028","028","Vaughan",323103.00
"3519036","036","Markham",338503.00
"3519038","038","Richmond Hill",202022.00
"3519044","044","Whitchurch-Stouffville",49864.00
"3519046","046","Aurora",62057.00
"3519048","048","Newmarket",87942.00
"3519049","049","King",27333.00
"3519054","054","East Gwillimbury",34637.00
"3519070","070","Georgina",47642.00
"3520005","005","Toronto",2794356.00
"3521005","005","Mississauga",717961.00
"3521010","010","Brampton",656480.00
"3521024","024","Caledon",76581.00
"3524001","001","Oakville",213759.00
"3524002","002","Burlington",186948.00
"3524009","009","Milton",132979.00
"3524015","015","Halton Hills",62951.00
