Census Division,Census Subdivision,"Non-Official Lang., 1981","Most Spoken Non-Official Lang., 1981","Most Spoken Non-Official Lang. Speakers, 1981","Non-Official Lang., 2001","Most Spoken Non-Official Lang., 2001","Most Spoken Non-Official Lang. Speakers, 2001","Non-Official Lang., 2021","Most Spoken Non-Offical Lang., 2021","Most Spoken Non-Official Lang. Speakers, 2021"
Durham Region,Ajax,840,German,235,7325,Arabic,675,20270,Tamil,4635
York Region,Aurora,315,German,105,3505,Italian,510,13385,Mandarin,3985
Peel Region,Brampton,14395,Portuguese,4420,98445,Punjabi,34990,219955,Punjabi,114145
Durham Region,Brock,160,German/Greek,25,275,German,40,260,Tamil,45
Halton Region,Burlington,4515,German,480,12970,Polish,1275,16280,Spanish,1865
Peel Region,Caledon,1425,Italian,580,5910,Italian,2780,11640,Punjabi,6420
Durham Region,Clarington,905,Italian,165,2615,Polish,410,4125,Tamil,710
York Region,East Gwillimbury,345,Italian,95,860,Polish,130,5455,Mandarin,1225
York Region,Georgina,540,German,135,1375,German,200,2800,Cantonese,410
Halton Region,Halton Hills,975,German,145,2860,Portuguese,425,3685,Punjabi,640
York Region,King,1170,Italian,525,2535,Italian,1295,2780,Mandarin,435
York Region,Markham,6390,Chinese,1790,98895,Cantonese,33285,143455,Cantonese,56950
Halton Region,Milton,1015,Italian,380,1835,Italian,460,25870,Urdu,8355
Peel Region,Mississauga,43100,Italian,12450,241780,Polish,27475,197295,Urdu,24310
York Region,Newmarket,515,Italian,95,6945,Italian,715,16065,Mandarin,3270
Halton Region,Oakville,7030,Portuguese,1785,23410,Portuguese,2845,41050,Mandarin,11690
Durham Region,Oshawa,7065,Portuguese,585,10470,Polish,2070,14105,Urdu,1770
Durham Region,Pickering,1410,German,305,10030,Tagalog,1030,12145,Urdu,1960
York Region,Richmond Hill,3350,Italian,1705,59065,Cantonese,13920,80570,Mandarin,20860
Durham Region,Scugog,295,German,125,535,German,95,300,Mandarin,50
City of Toronto,Toronto,456390,Italian,134735,1066340,Cantonese,93365,713255,Mandarin,86150
Durham Region,Uxbridge,255,German,95,645,German,120,580,Mandarin,75
York Region,Vaughan,7550,Italian,5710,77275,Italian,34800,85960,Russian,12650
Durham Region,Whitby,1330,Italian,275,7140,Italian,855,13255,Tamil,1630
York Region,Whitchurch-Stouffville,580,Italian,200,1600,Italian,310,9225,Cantonese,3045
